world,num_success, avg_trial_time,var_trial_time,avg_cmd_v,var_cmd_v,avg_cmd_w,var_cmd_w, avg_odom_v,var_odom_v, avg_odom_w, var_odom_w
world 0,4, 104.510,160.905,0.153,0.000, 0.257, 0.001, 0.151, 0.000, 0.242, 0.001
world 1,3, 102.387,233.787,0.147,0.000, 0.289, 0.001, 0.144, 0.000, 0.270, 0.001
world 3,4, 90.753,1373.402,0.159,0.003, 0.319, 0.010, 0.153, 0.003, 0.296, 0.008
world 4,3, 96.449,278.035,0.152,0.001, 0.318, 0.002, 0.151, 0.001, 0.302, 0.001
world 5,5, 92.954,957.452,0.137,0.002, 0.234, 0.003, 0.135, 0.002, 0.225, 0.002
world 6,5, 131.749,1057.388,0.107,0.001, 0.228, 0.001, 0.105, 0.001, 0.219, 0.001
world 7,4, 111.555,647.642,0.137,0.001, 0.269, 0.008, 0.132, 0.001, 0.246, 0.006
world 8,5, 74.966,102.102,0.146,0.000, 0.278, 0.001, 0.146, 0.000, 0.269, 0.001
world 9,5, 51.548,1.322,0.229,0.000, 0.427, 0.000, 0.223, 0.000, 0.394, 0.000
world 10,5, 92.279,70.702,0.206,0.000, 0.344, 0.001, 0.199, 0.000, 0.309, 0.001
world 11,5, 67.946,209.164,0.197,0.001, 0.336, 0.003, 0.190, 0.001, 0.312, 0.002
world 12,5, 92.143,305.597,0.170,0.001, 0.314, 0.003, 0.164, 0.001, 0.286, 0.002
world 13,3, 177.759,152.843,0.119,0.000, 0.253, 0.000, 0.115, 0.000, 0.235, 0.000
world 14,5, 63.367,130.571,0.206,0.001, 0.330, 0.002, 0.201, 0.001, 0.308, 0.002
world 15,5, 72.445,109.177,0.159,0.001, 0.299, 0.002, 0.157, 0.000, 0.283, 0.001
world 16,3, 129.644,868.138,0.151,0.002, 0.317, 0.007, 0.147, 0.002, 0.288, 0.005
world 17,5, 70.983,88.304,0.146,0.000, 0.259, 0.001, 0.145, 0.000, 0.248, 0.001
world 18,5, 61.359,330.969,0.197,0.002, 0.350, 0.004, 0.192, 0.002, 0.329, 0.003
world 19,3, 107.026,181.433,0.173,0.000, 0.357, 0.001, 0.166, 0.000, 0.322, 0.001
world 20,5, 65.991,207.314,0.177,0.002, 0.304, 0.003, 0.173, 0.002, 0.284, 0.002
world 21,5, 58.159,22.584,0.189,0.000, 0.320, 0.001, 0.185, 0.000, 0.299, 0.000
world 22,5, 118.280,808.275,0.138,0.002, 0.275, 0.012, 0.135, 0.002, 0.253, 0.008
world 23,5, 63.485,0.544,0.237,0.000, 0.426, 0.001, 0.229, 0.000, 0.383, 0.000
world 24,4, 92.934,188.989,0.213,0.001, 0.428, 0.002, 0.206, 0.001, 0.377, 0.002
world 25,5, 48.985,0.172,0.236,0.000, 0.415, 0.000, 0.228, 0.000, 0.382, 0.000
world 26,5, 62.960,110.157,0.206,0.001, 0.359, 0.004, 0.200, 0.001, 0.329, 0.003
world 27,5, 52.714,1.562,0.230,0.000, 0.424, 0.000, 0.222, 0.000, 0.392, 0.000
world 28,5, 54.942,31.317,0.225,0.000, 0.387, 0.001, 0.219, 0.000, 0.359, 0.001
world 29,5, 66.598,18.814,0.189,0.000, 0.340, 0.001, 0.184, 0.000, 0.316, 0.001
world 30,5, 115.113,77.815,0.153,0.000, 0.342, 0.001, 0.147, 0.000, 0.311, 0.000
world 31,5, 78.584,662.668,0.153,0.003, 0.262, 0.006, 0.150, 0.003, 0.247, 0.005
world 32,5, 103.106,1188.204,0.153,0.002, 0.269, 0.008, 0.150, 0.002, 0.251, 0.006
world 33,5, 79.527,3.044,0.232,0.000, 0.431, 0.001, 0.222, 0.000, 0.388, 0.001
world 34,5, 52.541,6.592,0.221,0.000, 0.389, 0.002, 0.214, 0.000, 0.357, 0.001
world 35,5, 55.182,97.889,0.214,0.001, 0.387, 0.003, 0.209, 0.001, 0.361, 0.002
world 36,5, 63.941,31.143,0.160,0.000, 0.310, 0.002, 0.159, 0.000, 0.293, 0.001
world 37,3, 73.083,38.546,0.194,0.000, 0.332, 0.000, 0.189, 0.000, 0.309, 0.000
world 38,5, 139.683,538.329,0.134,0.001, 0.257, 0.002, 0.132, 0.001, 0.235, 0.002
world 39,5, 48.970,1.260,0.235,0.000, 0.387, 0.001, 0.229, 0.000, 0.357, 0.000
world 40,5, 49.180,4.236,0.231,0.000, 0.391, 0.001, 0.225, 0.000, 0.361, 0.001
world 41,5, 72.927,67.361,0.157,0.000, 0.304, 0.001, 0.156, 0.000, 0.289, 0.001
world 42,5, 52.710,2.017,0.225,0.000, 0.372, 0.000, 0.220, 0.000, 0.346, 0.000
world 43,5, 96.962,384.813,0.135,0.001, 0.284, 0.002, 0.134, 0.001, 0.268, 0.002
world 44,5, 81.168,175.797,0.190,0.001, 0.341, 0.003, 0.183, 0.001, 0.308, 0.002
world 45,5, 93.734,352.235,0.162,0.001, 0.311, 0.006, 0.153, 0.001, 0.278, 0.005
world 46,5, 53.797,135.425,0.217,0.001, 0.353, 0.000, 0.212, 0.001, 0.323, 0.000
world 47,5, 81.376,58.106,0.120,0.000, 0.247, 0.001, 0.119, 0.000, 0.237, 0.001
world 48,5, 88.083,16.455,0.189,0.000, 0.338, 0.001, 0.186, 0.000, 0.311, 0.001
world 49,4, 114.949,276.857,0.124,0.000, 0.252, 0.003, 0.123, 0.000, 0.240, 0.002
world 50,5, 72.555,115.365,0.219,0.001, 0.385, 0.003, 0.212, 0.001, 0.353, 0.002
world 51,4, 47.273,0.763,0.232,0.000, 0.418, 0.001, 0.226, 0.000, 0.383, 0.001
world 52,4, 59.253,108.878,0.179,0.001, 0.329, 0.000, 0.176, 0.001, 0.310, 0.000
world 53,5, 52.758,31.953,0.223,0.000, 0.335, 0.000, 0.217, 0.000, 0.312, 0.000
world 54,5, 54.218,14.101,0.215,0.000, 0.388, 0.002, 0.209, 0.000, 0.362, 0.001
world 55,5, 110.933,120.379,0.133,0.000, 0.295, 0.000, 0.130, 0.000, 0.278, 0.000
world 56,5, 49.938,6.346,0.207,0.000, 0.351, 0.001, 0.205, 0.000, 0.332, 0.001
world 57,5, 43.961,1.745,0.235,0.000, 0.354, 0.000, 0.229, 0.000, 0.329, 0.000
world 58,3, 165.967,4406.240,0.154,0.002, 0.317, 0.006, 0.151, 0.002, 0.280, 0.004
world 59,5, 119.466,658.124,0.145,0.001, 0.287, 0.002, 0.142, 0.001, 0.264, 0.002
world 60,5, 55.740,2.046,0.234,0.000, 0.414, 0.000, 0.227, 0.000, 0.371, 0.000
world 61,5, 61.323,9.773,0.232,0.000, 0.389, 0.001, 0.227, 0.000, 0.350, 0.000
world 62,4, 171.891,2093.850,0.134,0.001, 0.291, 0.002, 0.128, 0.001, 0.262, 0.002
world 63,5, 60.307,4.115,0.235,0.000, 0.423, 0.001, 0.229, 0.000, 0.381, 0.001
world 64,4, 72.178,2.338,0.228,0.000, 0.396, 0.000, 0.220, 0.000, 0.357, 0.000
world 65,4, 74.949,3.618,0.229,0.000, 0.403, 0.000, 0.221, 0.000, 0.363, 0.000
world 66,5, 85.480,54.619,0.200,0.000, 0.343, 0.001, 0.193, 0.000, 0.310, 0.001
world 67,5, 66.542,220.737,0.202,0.002, 0.347, 0.004, 0.197, 0.002, 0.314, 0.003
world 68,5, 90.726,157.392,0.173,0.001, 0.291, 0.002, 0.169, 0.001, 0.265, 0.002
world 69,3, 162.586,360.146,0.140,0.000, 0.304, 0.002, 0.135, 0.000, 0.273, 0.001
world 70,5, 81.459,491.174,0.212,0.002, 0.358, 0.005, 0.206, 0.001, 0.322, 0.004
world 71,5, 58.536,2.531,0.234,0.000, 0.444, 0.000, 0.225, 0.000, 0.402, 0.000
world 72,5, 60.695,0.379,0.234,0.000, 0.415, 0.001, 0.227, 0.000, 0.373, 0.001
world 73,5, 99.609,144.683,0.228,0.000, 0.398, 0.003, 0.219, 0.000, 0.349, 0.002
world 74,5, 80.718,173.977,0.208,0.001, 0.408, 0.003, 0.199, 0.001, 0.376, 0.003
world 75,5, 64.311,108.007,0.218,0.001, 0.346, 0.002, 0.212, 0.001, 0.312, 0.002
world 76,7, 73.563,65.800,0.117,0.006, 0.260, 0.004, 0.202, 0.005, 0.220, 0.004
world 77,5, 48.514,22.528,0.236,0.000, 0.427, 0.000, 0.227, 0.000, 0.387, 0.000
world 78,4, 128.425,17.750,0.231,0.000, 0.451, 0.001, 0.220, 0.000, 0.381, 0.000
world 79,5, 46.353,25.930,0.231,0.000, 0.386, 0.001, 0.224, 0.000, 0.351, 0.000
world 80,5, 86.437,124.054,0.207,0.001, 0.352, 0.001, 0.201, 0.001, 0.309, 0.000
world 82,1, 118.743,0.000,0.130,0.000, 0.287, 0.000, 0.127, 0.000, 0.270, 0.000
world 83,4, 121.494,250.475,0.160,0.000, 0.283, 0.000, 0.157, 0.000, 0.263, 0.000
world 84,5, 52.373,22.404,0.227,0.000, 0.390, 0.002, 0.219, 0.000, 0.346, 0.001
world 85,5, 105.390,870.888,0.199,0.002, 0.328, 0.004, 0.192, 0.001, 0.289, 0.002
world 86,5, 53.117,10.085,0.235,0.000, 0.439, 0.001, 0.227, 0.000, 0.397, 0.000
